sample_id,pdf_id,pdf_filename,page_num_1based,page_idx_0based,n_pages_in_pdf,quota_for_pdf,stratum,selection_rule,reviewer,status,certificado_no,marca,chasis,linea,pasajeros,modelo,clase,placa,motor,color,quality_flag,notes,labeled_at_utc
1943853451941_p006,1943853451941,1943853451941.pdf,6,5,21,8,begin,anchor:0.28n,,in_progress,428,ISUZU,,,3,2019,CAMION,O-377BRX,SAROIMUN,S/C,,seed_from_model,
1943853451941_p011,1943853451941,1943853451941.pdf,11,10,21,8,middle,anchor:0.50n,,in_progress,433,ISUZU,JAANKRSSES7100007,,3,2005,CAMION,P-077BCG,N137631,S/C,,seed_from_model,
1943853451941_p012,1943853451941,1943853451941.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,434,ISUZU,MPAUCS40GRTC00483,MU-X,7,2024,SUV / CAMIONETA,P-445KTY,SECXERSC,BLANCO PERLA DOLOMITE,,seed_from_model,
1943853451941_p016,1943853451941,1943853451941.pdf,16,15,21,8,end,anchor:0.75n,,in_progress,438,ISUZU,JAANPR71HR7100831,NP,3,2024,CAMION,,OVF833ON,BLANCO,,seed_from_model,
1943853451941_p020,1943853451941,1943853451941.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,442,ISUZU,JAANPR711HR710097,NP,3,2024,CAMION,,MOVL6CE8,BLANCO,,seed_from_model,
1943853451941_p021,1943853451941,1943853451941.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,443,ISUZU,JAANPR71HR7101051,NP,3,2024,CAMION,,MOVV738,BLANCO,,seed_from_model,
1943853451942_p001,1943853451942,1943853451942.pdf,1,0,12,6,hard_front,fixed:1,,in_progress,465,ISUZU,JAANPR71HS710C003,NP,3,2025,CAMION,,MOVF553,BLANCO,,seed_from_model,
1943853451942_p002,1943853451942,1943853451942.pdf,2,1,12,6,hard_front,fixed:2,,in_progress,466,ISUZU,JAANPR71HST10C018,NP,3,2025,CAMION,,OVNIRS2O,BLANCO,,seed_from_model,
1943853451942_p004,1943853451942,1943853451942.pdf,4,3,12,6,begin,anchor:0.33n,,in_progress,468,ISUZU,JAANPR71HR7100321,NP,3,2024,CAMION,,NOVA314,BLANCO,,seed_from_model,
1943853451942_p007,1943853451942,1943853451942.pdf,7,6,12,6,middle,anchor:0.58n,,in_progress,471,GREATDANE,,,,2016,,,3AVENIDA,BLANCO,,seed_from_model,
1943853451942_p011,1943853451942,1943853451942.pdf,11,10,12,6,hard_end,fixed:n-1,,in_progress,475,SUZUKI,MA20T0SB0S0E03221,LNEAEECO,2,2025,,P-893LKF,MKIZNNA3,BLANCO,,seed_from_model,
1943853451942_p012,1943853451942,1943853451942.pdf,12,11,12,6,hard_end,fixed:n,,in_progress,476,SUZUKI,MAJDT0SB3S0E03418,EECO,2,2025,,,MKIZNNI3,BLANCO,,seed_from_model,
1943853451943_p001,1943853451943,1943853451943.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,402,ISUZU,JAANKREGEK2109044,SMAONERO,3,2019,CAMION,O-0269BRN,,S/C,,seed_from_model,
1943853451943_p002,1943853451943,1943853451943.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,403,ISUZU,JAANKR66EK7100053,,3,2019,CAMION,C-798BRS,M728355,S/C,,seed_from_model,
1943853451943_p006,1943853451943,1943853451943.pdf,6,5,21,8,begin,anchor:0.28n,,in_progress,407,ISUZU,JAANKREGE37100056,,3,2019,CAMION,O-791BRS,M728912,S/C,,seed_from_model,
1943853451943_p011,1943853451943,1943853451943.pdf,11,10,21,8,middle,anchor:0.50n,,in_progress,412,ISUZU,JAANKRECEK2100081,,3,2019,CAMION,P-0313BRT,M737495,S/C,,seed_from_model,
1943853451943_p012,1943853451943,1943853451943.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,413,ISUZU,JAANKREGEK7100084,,3,2019,CAMION,S-008RT,M738961,S/C,,seed_from_model,
1943853451943_p016,1943853451943,1943853451943.pdf,16,15,21,8,end,anchor:0.75n,,in_progress,417,ISUZU,JAANKREGEK1100989,,3,2019,CAMION,,730066ON,S/C,,seed_from_model,
1943853451943_p020,1943853451943,1943853451943.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,421,ISUZU,JAANKRGEGEK100094,SENMOOELO,3,2019,CAMION,O-038BRX,M740202,S/C,,seed_from_model,
1943853451943_p021,1943853451943,1943853451943.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,422,ISUZU,JAANKRGCEK1100095,,3,2019,,C-0333BRX,M740370,S/C,,seed_from_model,
1943853451944_p001,1943853451944,1943853451944.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,329,HINO,M1LCTV1NAL1CHR1AN,,3,2007,CAMION,C-814BWB,MS04CB13,BLANCO,,seed_from_model,
1943853451944_p002,1943853451944,1943853451944.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,330,HINO,JHH0C13F9NK0CG1AS,,3,2022,CAMION,,NOSCWF13,BLANCO,,seed_from_model,
1943853451944_p006,1943853451944,1943853451944.pdf,6,5,21,8,begin,anchor:0.28n,,in_progress,334,,JHHAC11F7KK505581,,3,2022,CAMION,,NNOSCWF1,BLANCO,,seed_from_model,
1943853451944_p011,1943853451944,1943853451944.pdf,11,10,21,8,middle,anchor:0.50n,,in_progress,339,HINO,JHHACJ1FXKKS06598,,3,2022,CAMION,C-418BVC,NKOLCWF1,BLANCO,,seed_from_model,
1943853451944_p012,1943853451944,1943853451944.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,340,HINO,JHHAC11F1NXL05643,,3,2022,CAMION,C-414BWV,NOLCWF13,BLANCO,,seed_from_model,
1943853451944_p016,1943853451944,1943853451944.pdf,16,15,21,8,end,anchor:0.75n,,in_progress,344,HINO,JHH0C13FSNK0CG363,,3,2022,CAMION,C-444BVC,MKOSCWF1,BLANCO,,seed_from_model,
1943853451944_p020,1943853451944,1943853451944.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,348,,JHH0C13F9NK0CG365,,3,2022,CAMION,C-442BWW,NOCCWF13,BLANCO,,seed_from_model,
1943853451944_p021,1943853451944,1943853451944.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,349,HINO,JHH0C13F4NK0CG371,,3,2022,CAMION,,NOSCWF13,BLANCO,,seed_from_model,
1943853451945_p001,1943853451945,1943853451945.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,379,HINO,JHHUFJ1HXGKC08S16,,3,2016,CAMION,C-0195BPM,NWOI0I6S,S/C,,seed_from_model,
1943853451945_p002,1943853451945,1943853451945.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,380,HINO,JHHUFJ1HGGK003772,,3,2016,CAMION,C-019BPN,NVI04016,S/C,,seed_from_model,
1943853451945_p006,1943853451945,1943853451945.pdf,6,5,21,8,begin,anchor:0.28n,,in_progress,384,INTERNATIONAL,,,3,2012,,,M19125HM,S/C,,seed_from_model,
1943853451945_p011,1943853451945,1943853451945.pdf,11,10,21,8,middle,anchor:0.50n,,in_progress,391,,,00,11,,,,IARIO,S/C,,seed_from_model,
1943853451945_p012,1943853451945,1943853451945.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,392,ISUZU,MPATFS86JKT000147,,3,2019,,P-3700CYD,MSF1327,S/C,,seed_from_model,
1943853451945_p016,1943853451945,1943853451945.pdf,16,15,21,8,end,anchor:0.75n,,in_progress,396,ISUZU,JAANKRE6EK7100046,,3,2019,CAMION,,N722021,S/C,,seed_from_model,
1943853451945_p020,1943853451945,1943853451945.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,400,ISUZU,JAANKRECEK7100050,,3,2019,CAMION,C-0262BRN,M723211,S/C,,seed_from_model,
1943853451945_p021,1943853451945,1943853451945.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,401,ISUZU,JAANKREGEK7100051,SIVMODELO3,3,2019,CAMION,C-0263BRN,123209NI,,,seed_from_model,
1943853451946_p001,1943853451946,1943853451946.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,350,HINO,JHH0C13FSNK0CG430,,3,2022,CAMION,,NOSCWF13,BLANCO,,seed_from_model,
1943853451946_p002,1943853451946,1943853451946.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,351,HINO,JHH0C11FEMK0C6437,,3,2022,CAMION,,NOSCWE13,BLANCO,,seed_from_model,
1943853451946_p006,1943853451946,1943853451946.pdf,6,5,21,8,begin,anchor:0.28n,,in_progress,355,ISUZU,JAANKRSSEGT102113,LNEANKR,3,2006,CAMION,,N346057,S/C,,seed_from_model,
1943853451946_p011,1943853451946,1943853451946.pdf,11,10,21,8,middle,anchor:0.50n,,in_progress,364,ISUZU,JAANKRSSEST101C0S,,3,2005,CAMION,O-741BRZ,M137687,,,seed_from_model,
1943853451946_p012,1943853451946,1943853451946.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,368,TOYOTA,JTFHK02P1C00CE399,,3,2012,,,M5L61833,S/C,,seed_from_model,
1943853451946_p016,1943853451946,1943853451946.pdf,16,15,21,8,end,anchor:0.75n,,in_progress,373,HINO,JHDFG1JANJEXX1432,,3,2014,CAMION,O-720BRZ,NJORCOTT,S/C,,seed_from_model,
1943853451946_p020,1943853451946,1943853451946.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,377,TOYOTA,J1FHK02PCGC011413,HIACEPANEL,3,2016,PANEL,,NSL62601,S/C,,seed_from_model,
1943853451946_p021,1943853451946,1943853451946.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,378,ISUZU,MPATFSEGJFTC01954,DAMAXLS,3,2015,,O-260FWF,N3928PLA,S/C,,seed_from_model,
1943853451948_p001,1943853451948,1943853451948.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,284,TOYOTA,MR0CS12G300056118,RMXXO,5,2008,,P-052HY,N2KD7493,BLANCO,,seed_from_model,
1943853451948_p002,1943853451948,1943853451948.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,286,HINO,JHHAF1SHSHK005995,,3,2017,CAMION,,MVIOSOJ6,BLANCO,,seed_from_model,
1943853451948_p006,1943853451948,1943853451948.pdf,6,5,21,8,begin,anchor:0.28n,,in_progress,290,INTERNATIONAL,,,2,2014,,,NI2SHM2Y,BLANCO,,seed_from_model,
1943853451948_p011,1943853451948,1943853451948.pdf,11,10,21,8,middle,anchor:0.50n,,in_progress,295,,JHHAFJ3H4HX006052,LINESY/U609,3,2017,CAMION,C-6878VV,KMW040I6,,,seed_from_model,
1943853451948_p012,1943853451948,1943853451948.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,296,,JHHAFJ3HXHK005997,LINESY/UCOO,3,2017,CAMION,,MVIONOJE,,,seed_from_model,
1943853451948_p016,1943853451948,1943853451948.pdf,16,15,21,8,end,anchor:0.75n,,in_progress,300,UTILITY,,LINESSIN,,2012,,C-0210VG,,BLANCO,,seed_from_model,
1943853451948_p020,1943853451948,1943853451948.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,304,HINO,JHHAFJ3HCHK00G0B1,LNEAVUCOO,3,2017,CAMION,,MWOIDIE8,,,seed_from_model,
1943853451948_p021,1943853451948,1943853451948.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,305,HINO,JHHAFJ1HCHK005951,VTYCOO,3,,CAMION,C-689BV,MWOLOJ63,BLANCO,,seed_from_model,
1943853451949_p001,1943853451949,1943853451949.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,231,ISUZU,JAANPR71HH7100038,NKR,3,2017,CAMION,C-920BCQ,M503206,BLANCO,,seed_from_model,
1943853451949_p002,1943853451949,1943853451949.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,239,NISSAN,JN1NC2E2620009374,,3,2018,,,MYO25429,BLANCO,,seed_from_model,
1943853451949_p006,1943853451949,1943853451949.pdf,6,5,21,8,begin,anchor:0.28n,,in_progress,244,,JHDEG1JA11XX15L40,,3,2018,CAMION,,MJXO8CF4,BLANCO,,seed_from_model,
1943853451949_p011,1943853451949,1943853451949.pdf,11,10,21,8,middle,anchor:0.50n,,in_progress,260,UTILITY,,,,2012,,C-083CGH,MRUA,BLANCO,,seed_from_model,
1943853451949_p012,1943853451949,1943853451949.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,262,ISUZU,MPATERS43JT000482,DMAX,5,2018,,P-597KDS,N305990,BLANCO,,seed_from_model,
1943853451949_p016,1943853451949,1943853451949.pdf,16,15,21,8,end,anchor:0.75n,,in_progress,266,ISUZU,MPATERSAHCT101G21,DMAX,,2013,,P-207IGN,N251085,BLANCO,,seed_from_model,
1943853451949_p020,1943853451949,1943853451949.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,282,NISSAN,,NP,5,2020,,,NYD25698,BLANCO,,seed_from_model,
1943853451949_p021,1943853451949,1943853451949.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,283,HYUNDAI,MHJ128138LU021944,LINESTUCSON,5,2020,SUV,,MGENAKU2,GRIS,,seed_from_model,
1943853451950_p001,1943853451950,1943853451950.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,92,ISUZU,JALFVR34PE7000167,LNEA,3,2014,CAMION,,CORDBNZR,BLANCO,,seed_from_model,
1943853451950_p002,1943853451950,1943853451950.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,93,ISUZU,JALFVR34PE7000135,FVR,3,2014,CAMION,C-981BNZ,M655385,BLANCO,,seed_from_model,
1943853451950_p006,1943853451950,1943853451950.pdf,6,5,21,8,begin,anchor:0.28n,,in_progress,166,,,31-01-20,25,,,,25310120,BLANCO,,seed_from_model,
1943853451950_p011,1943853451950,1943853451950.pdf,11,10,21,8,middle,anchor:0.50n,,in_progress,204,,,31-01-20,12,,,,25310120,BLANCO,,seed_from_model,
1943853451950_p012,1943853451950,1943853451950.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,205,,,31-01-20,25,,,,25131012,BLANCO,,seed_from_model,
1943853451950_p016,1943853451950,1943853451950.pdf,16,15,21,8,end,anchor:0.75n,,in_progress,213,,,HERORR200OR,,,,,SIARIO,BLANCO,,seed_from_model,
1943853451950_p020,1943853451950,1943853451950.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,229,ISUZU,JANNPR11HH1100019,LINESNKR,3,2017,CAMION,P-921BCQ,M48S817,BLANCO,,seed_from_model,
1943853451950_p021,1943853451950,1943853451950.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,230,ISUZU,JAANPR71HH7100937,LINESNKR,3,2017,CAMION,C-922BCQ,M600275,BLANCO,,seed_from_model,
1943853451951_p001,1943853451951,1943853451951.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,65,NISSAN,,,,,,P-054FRD,GA167825,,,seed_from_model,
1943853451951_p002,1943853451951,1943853451951.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,66,ISUZU,JAANPR71HE7100337,NP,3,2014,CAMION,C-633BNT,M188330,BLANCO,,seed_from_model,
1943853451951_p006,1943853451951,1943853451951.pdf,6,5,21,8,begin,anchor:0.28n,,in_progress,71,ISUZU,JAANPR71HE7100335,NP,3,2014,CAMION,,M188304,BLANCO,,seed_from_model,
1943853451951_p011,1943853451951,1943853451951.pdf,11,10,21,8,middle,anchor:0.50n,,in_progress,77,ISUZU,JAANPR71HE7100343,,,2014,,,,BLANCO,,seed_from_model,
1943853451951_p012,1943853451951,1943853451951.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,79,ISUZU,JAANPR71HE7100336,,,2014,CAMION,,JQUETZAL,BLANCO,,seed_from_model,
1943853451951_p016,1943853451951,1943853451951.pdf,16,15,21,8,end,anchor:0.75n,,in_progress,85,ISUZU,JAANPR71HE7100476,,,2014,,,,BLANCO,,seed_from_model,
1943853451951_p020,1943853451951,1943853451951.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,90,ISUZU,JALFVR34PE7000217,,,2014,,,,BLANCO,,seed_from_model,
1943853451951_p021,1943853451951,1943853451951.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,91,ISUZU,JALFVR34PE7000085,FVR,3,,CAMION,,M6526338,BLANCO,,seed_from_model,
1943853451952_p001,1943853451952,1943853451952.pdf,1,0,20,8,hard_front,fixed:1,,in_progress,26,HINO,JMU10396PASA1ER0S,,3,2005,CAMION,C-033BBR,M108CF24,BLANCO,,seed_from_model,
1943853451952_p002,1943853451952,1943853451952.pdf,2,1,20,8,hard_front,fixed:2,,in_progress,28,HYUNDAI,M0T0RG4FC9U626727,,,,,,,PLATEADO,,seed_from_model,
1943853451952_p006,1943853451952,1943853451952.pdf,6,5,20,8,begin,anchor:0.28n,,in_progress,35,NISSAN,M0T0RGA16852813Y0,,,,,,,BLANCO,,seed_from_model,
1943853451952_p010,1943853451952,1943853451952.pdf,10,9,20,8,middle,anchor:0.50n,,in_progress,48,ISUZU,JAANPR71HC7100265,NP,3,2012,CAMION,C-260BMY,M927961,BLANCO,,seed_from_model,
1943853451952_p011,1943853451952,1943853451952.pdf,11,10,20,8,middle,anchor:0.56n,,in_progress,49,ISUZU,JAANPR71HC7101396,NP,3,2013,CAMION,C-694BND,M2515,BLANCO,,seed_from_model,
1943853451952_p015,1943853451952,1943853451952.pdf,15,14,20,8,end,anchor:0.75n,,in_progress,55,ISUZU,JAANPR71HC7101397,,3,,CAMION,,2507,BLANCO,,seed_from_model,
1943853451952_p019,1943853451952,1943853451952.pdf,19,18,20,8,hard_end,fixed:n-1,,in_progress,60,NISSAN,MLM0T0RHR16886924,ECALAR,,,,,3GPEFECT,AZUL,,seed_from_model,
1943853451952_p020,1943853451952,1943853451952.pdf,20,19,20,8,hard_end,fixed:n,,in_progress,62,NISSAN,,,,,,,,BLANCO,,seed_from_model,
